Time,heading
259.950003873,-1.2197734117507935
260.050003875,-1.2206181287765503
260.050003875,-1.2231074571609497
260.150003876,-1.2274900674819946
260.150003876,-1.2336984872817993
260.250003878,-1.241233468055725
260.250003878,-1.2471357583999634
260.350003879,-1.2502096891403198
260.40000388,-1.2519408464431763
260.450003881,-1.2532943487167358
260.450003881,-1.254747986793518
260.550003882,-1.2568918466567993
260.600003883,-1.259679913520813
260.650003883,-1.2627240419387817
260.650003883,-1.265823245048523
260.700003884,-1.268938660621643
260.800003886,-1.2727116346359253
260.850003886,-1.2768882513046265
260.850003886,-1.2814546823501587
260.950003888,-1.2863777875900269
261.000003889,-1.291464924812317
261.050003889,-1.296547770500183
261.10000389,-1.3001772165298462
261.150003891,-1.3021866083145142
261.200003892,-1.3032501935958862
261.250003892,-1.3028925657272339
261.250003892,-1.298777461051941
261.350003894,-1.298777461051941
261.400003895,-1.2959142923355103
261.450003895,-1.2926369905471802
261.450003895,-1.2890290021896362
261.500003896,-1.2872573137283325
261.600003898,-1.287763237953186
261.650003898,-1.2903732061386108
261.650003898,-1.2951444387435913
261.7500039,-1.3015092611312866
261.7500039,-1.3088775873184204
261.850003901,-1.3175290822982788
261.850003901,-1.3261197805404663
261.950003903,-1.3340023756027222
262.000003904,-1.3414288759231567
262.050003904,-1.3479136228561401
262.100003905,-1.3534225225448608
262.150003906,-1.3575536012649536
262.150003906,-1.3603729009628296
262.250003907,-1.3624621629714966
262.250003907,-1.364524006843567
262.350003909,-1.3661328554153442
262.40000391,-1.3670767545700073
262.45000391,-1.3675893545150757
262.500003911,-1.3680146932601929
262.550003912,-1.3684941530227661
262.600003913,-1.3689061403274536
262.650003913,-1.3692556619644165
262.700003914,-1.3695875406265259
262.700003914,-1.372334361076355
262.750003915,-1.3769508600234985
262.850003916,-1.3821066617965698
262.900003917,-1.3875216245651245
262.900003917,-1.393057942390442
263.000003919,-1.3984040021896362
263.050003919,-1.4032536745071411
263.050003919,-1.409777283668518
263.150003921,-1.4155806303024292
263.200003921,-1.4190770387649536
263.250003922,-1.4210010766983032
263.300003923,-1.4238215684890747
263.350003924,-1.4243146181106567
263.400003924,-1.4218910932540894
263.450003925,-1.4200729131698608
263.500003926,-1.417486548423767
263.500003926,-1.4145301580429077
263.600003927,-1.41138756275177
263.650003928,-1.40276300907135
263.700003929,-1.40276300907135
