Time,Unfiltered,Ideal (Carla),Current,Test Filter,Unfiltered Error,Current ErrorTest Filter Error
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
1400.500020869,-3.0399105548858643,-3.039910233693369,-3.039963960647583,-3.039963960647583,-3.0399105548858643,-3.039910233693369,-3.039963960647583
