Time,pos x,pos y,pos z
309.550004612,976.0394396058518,-5433.729036476423,702.2771826731336
309.550004612,975.6545934909857,-5433.9377338514005,702.2771674874454
309.650004614,975.4384174875544,-5434.191335127992,702.277163065614
309.650004614,975.5438541212685,-5434.102201284925,702.2771595549993
309.750004615,975.5848643622379,-5433.797808664058,702.2771563793598
309.750004615,975.323691143215,-5434.080395130162,702.2771563882533
309.800004616,975.4955797349206,-5433.962760523611,702.2771602341664
309.850004617,975.4687909142132,-5434.009182391627,702.2771733008392
309.900004617,975.286231567293,-5434.082467865284,702.277201488604
310.000004619,975.518465901385,-5433.996741077557,702.2772517317645
310.000004619,975.5172252892746,-5433.938396285661,702.2772662529508
310.05000462,975.5005299231175,-5433.997637723601,702.2772567826693
310.150004621,975.6768825009532,-5434.347352920528,702.2772233912261
310.200004622,975.8700320688596,-5433.895487405475,702.2771725894953
310.250004623,975.6243487239378,-5434.112425690099,702.2771398010666
310.300004623,975.5878012838115,-5434.025626937118,702.2771174005277
310.300004623,975.8700091789145,-5434.1045310200625,702.2771075183861
310.400004625,975.7840428241818,-5433.961674877444,702.2771009585987
310.450004626,975.5260677709064,-5433.953712508247,702.2770917544879
310.450004626,975.8133171796967,-5434.012438306171,702.2770870766765
310.550004627,975.6782226440753,-5433.848035471935,702.2770849872938
310.600004628,975.4473636141161,-5433.800353054874,702.2770826506314
310.600004628,975.2379720039994,-5433.988596952968,702.2770889527714
310.650004629,975.265731862585,-5434.251515906064,702.2771132347576
310.700004629,975.4583918808016,-5434.191372250657,702.2771103340935
310.75000463,975.3016730158313,-5434.010604739897,702.2770801865412
310.850004632,975.3586561954668,-5433.884936857049,702.2770562730472
310.900004632,975.4175482234682,-5434.115630316299,702.2770342121136
310.950004633,975.6650210534211,-5433.994323076962,702.277021546582
310.950004633,975.6428955525412,-5433.900783075349,702.2770086286539
311.000004634,975.5603914716858,-5434.013280554107,702.2769989205708
311.100004635,975.8201996228522,-5433.894837915391,702.2769892319598
311.100004635,975.8962195585112,-5434.056807862383,702.2769834250907
311.200004637,976.1399081767751,-5433.952791360739,702.2769769924048
311.200004637,976.1426452508111,-5433.77650358005,702.2769801127363
311.250004637,976.0128477919632,-5433.7929155033335,702.2769973752542
311.300004638,975.7176628012338,-5433.947618471025,702.2770030711001
311.40000464,975.2833427153851,-5433.547104416814,702.2770028643985
311.40000464,975.5824373092632,-5433.599222284304,702.2769966106912
311.500004641,975.3477711085934,-5433.447934841779,702.2769790323407
311.500004641,975.3420967792738,-5433.786291943437,702.276943671731
311.550004642,975.6624608398354,-5433.765065108796,702.2769260000721
311.600004643,975.5427366354311,-5433.806827609418,702.276917322861
311.700004644,975.2395796904957,-5434.027807349128,702.2769120519497
311.750004645,975.4135841499556,-5434.1863280764555,702.2768965452219
311.750004645,975.6651568982631,-5434.246192706502,702.2768884037611
311.800004646,975.8402427693248,-5434.463814033064,702.2768790726801
311.850004646,975.6950974632871,-5434.4856608404125,702.2768728605163
311.900004647,975.5642678033994,-5434.323505389183,702.2768705284628
311.950004648,975.8257259694176,-5434.321380431104,702.2768792627733
312.000004649,975.6847251759291,-5434.121164401569,702.276900319165
312.050004649,975.5424406574547,-5434.33641617173,702.2769033011072
312.10000465,975.2792724943263,-5433.82504295235,702.2768935293382
312.200004652,975.3335134721665,-5433.8092380955495,702.2768664036505
312.200004652,975.650558386672,-5433.821627924692,702.2768569147587
312.300004653,975.8863687528958,-5433.560255209229,702.2768439161943
312.300004653,975.8854955079601,-5433.970475081488,702.2768354875378
312.350004654,975.835557864919,-5433.883936732991,702.2768281539211
312.400004655,975.57840111075,-5434.119987357323,702.276818084717
312.450004655,975.6382641698196,-5434.05677440104,702.2768089821612
312.500004656,975.6002311607492,-5434.05806119219,702.2768055670992
312.550004657,975.5505920649157,-5433.934202430575,702.2768027960328
312.600004658,975.8908836210608,-5433.75808815535,702.2767995093166
312.650004658,975.5470905237619,-5433.7758133359275,702.2768131412761
312.75000466,975.7484552393191,-5433.868632253103,702.2768162259399
312.75000466,976.0711590415578,-5433.945595390474,702.2768196870297
312.800004661,975.9459965786942,-5434.006619937224,702.276816708758
312.900004662,975.5063302248957,-5433.703461152984,702.276814996603
312.900004662,975.400081734535,-5433.9579899139035,702.276815330922
313.000004664,975.3871912653691,-5434.011731503247,702.2768154630014
313.000004664,975.5892720229614,-5434.153970819821,702.2768147606924
313.100004665,975.5210342698718,-5434.075641203415,702.2768143160031
313.100004665,975.6272162485244,-5433.929076242971,702.2768180118512
313.200004667,975.5483456203101,-5433.85503579348,702.276819945544
313.250004667,975.6576183672091,-5433.895389375246,702.276820763881
313.300004668,975.8780522542262,-5434.008888310632,702.2768144155737
313.300004668,975.8737075408548,-5433.920414323175,702.2768041100205
313.40000467,975.6895671996227,-5433.667770447881,702.276773936652
313.45000467,975.6242711480252,-5433.25883250327,702.2767164993245
313.45000467,975.415027100321,-5433.248078374553,702.2766860462214
313.500004671,975.219602473508,-5433.376572959973,702.2766713286402
313.600004673,975.4934933811924,-5433.582580501624,702.276664560108
313.600004673,975.7122853495188,-5433.827432475448,702.2766608623915
313.700004674,975.5922371179015,-5433.9451923103425,702.2766558870749
313.750004675,975.9898104951624,-5433.856588372208,702.276655773491
313.750004675,975.7831684859557,-5433.851382175766,702.2766571183199
313.800004675,975.5382105820746,-5433.934023780587,702.2766577684172
313.900004677,975.675866442642,-5434.139524139014,702.2766763280135
313.950004678,975.6418379045741,-5433.757891726225,702.276721307674
314.000004678,975.896606507967,-5433.81419061656,702.2767367583407
314.050004679,975.9784043232104,-5433.763378928278,702.2767270491958
314.10000468,975.8493310309734,-5433.910797699663,702.2767027730933
314.150004681,976.0611627049651,-5433.811180902782,702.2766545803291
314.200004681,976.1659167787478,-5433.779746699599,702.2766049200887
314.250004682,976.098856334747,-5433.648728304052,702.2766049200887
314.250004682,975.8779257313923,-5434.021905221692,702.2765915391268
314.350004684,975.9935167899375,-5434.0384969463985,702.2765855549085
314.350004684,975.8427789040902,-5434.078214731708,702.2765794584213
314.450004685,975.9595309089021,-5434.192197908793,702.2765741313658
314.450004685,976.0013624618562,-5434.005130578191,702.2765703999428
314.550004687,975.9476555876371,-5433.857216704891,702.2765768296053
314.550004687,975.7863710430706,-5433.93690460866,702.2765828864556
314.600004687,975.8121386811902,-5433.905945649949,702.2766092003493
314.700004689,975.7283265315616,-5433.827719603089,702.276615720268
314.75000469,975.6704839635402,-5433.931696595128,702.2766135257331
314.75000469,975.9380558643106,-5433.959905062708,702.2766019886033
314.850004691,975.8123970000663,-5434.058291253954,702.2765777561211
314.850004691,975.5638153401168,-5433.95424376922,702.276525805712
314.950004693,975.5530930530643,-5433.829751058118,702.2765011879144
315.000004693,975.576945520756,-5434.292619984875,702.2764893138412
315.000004693,975.7825641141828,-5434.000778220844,702.2764832980649
315.050004694,975.3505400192672,-5434.2240160602805,702.2764836888019
315.150004696,975.6370702593138,-5434.165840744005,702.2764839868248
315.150004696,975.8217913670792,-5434.194932507217,702.2764814984682
315.200004696,975.6892981371847,-5434.538845642112,702.2764777564755
315.300004698,975.498126707616,-5434.112606133034,702.276478025067
315.300004698,975.6931790563318,-5434.105941694224,702.2764894242785
315.350004699,975.5877980928867,-5434.173725579873,702.2765282743338
315.4500047,975.7753416531338,-5434.3851385380885,702.2765371740318
315.4500047,975.6756452243221,-5434.612508487238,702.2765282185434
315.500004701,975.4636945558254,-5434.358073587654,702.2765004714549
315.550004702,975.67538600143,-5434.459654920974,702.2764519229811
315.650004703,975.63891339636,-5434.437389229553,702.2764217285311
315.700004704,975.378388077311,-5434.474210669327,702.2764059441527
315.750004705,975.2474677571371,-5434.0259575105465,702.2763968692883
315.750004705,975.4883950788914,-5434.184720356915,702.2763841243193
315.850004706,975.6376214840402,-5433.851097012984,702.2763723640282
315.900004707,975.4470908019039,-5433.87297587609,702.2763608672942
315.950004708,975.5562271902937,-5434.167773406854,702.2763511361816
315.950004708,975.7679562657055,-5434.002184548174,702.276344405516
316.000004708,975.8552837733212,-5434.100284835782,702.2763506466468
316.10000471,975.9607228343249,-5434.091982392053,702.2763778315309
316.150004711,975.7432276936129,-5433.977880526951,702.2763807100525
316.200004711,975.7491319254499,-5433.922765597192,702.276367463512
316.250004712,975.7839286461308,-5434.051363723897,702.2763548623054
316.300004713,975.3800643264286,-5433.996633532309,702.2763517943692
316.350004713,975.2535477448639,-5433.979215899783,702.2763481417434
316.350004713,975.1686409040549,-5434.235713385842,702.2763456892379
316.450004715,975.5894050542927,-5434.081526494686,702.2763438306717
316.450004715,975.9081116682656,-5434.240081188354,702.2763437819981
316.550004716,975.8828939262634,-5434.105928949355,702.2763444177784
316.600004717,975.9648095767873,-5434.111589919319,702.2763439550947
316.650004718,975.9245702661697,-5434.229504896034,702.2763506390075
316.700004719,975.9699566912038,-5434.481801397496,702.2763610172728
316.700004719,976.1880678232018,-5434.381194255458,702.2763619577557
316.80000472,976.278900354119,-5434.07641312789,702.2763564996297
316.80000472,976.1048100025857,-5434.2904299040765,702.2763511891545
316.850004721,975.6991807055505,-5434.286671294417,702.2763444620551
316.900004722,975.8701864779218,-5434.231883741881,702.2763376018881
316.950004722,975.74094551038,-5434.181293908816,702.2763321239627
317.050004724,975.7006065193751,-5434.28740883425,702.276323225869
317.050004724,975.7726965587059,-5434.274067400085,702.2762988739994
317.150004725,975.8113286767908,-5433.986014595519,702.276256099107
317.150004725,975.6743125621824,-5433.830809506852,702.2762316321601
317.200004726,975.6737461555263,-5433.770364062664,702.2762285472844
317.300004728,975.6275000180221,-5433.804736290169,702.2762243474485
317.350004728,975.7094340782021,-5433.950572265169,702.2762217039199
317.400004729,975.73967902742,-5434.040213344853,702.2762187566238
317.45000473,975.7351108985459,-5434.035025760296,702.276202611151
317.45000473,976.1293642257975,-5434.289656028698,702.2761923536556
317.500004731,975.876084127471,-5434.065950819596,702.2761860885324
