Time,pos x,pos y,pos z
13.300000198,980.0599054255654,-5383.665180274815,702.4395617741578
13.650000203,979.1314560795806,-5383.779214727226,702.4395396868455
13.900000207,979.132237554328,-5384.1511993858,702.4395406625478
14.250000212,979.5276138338186,-5382.661081521972,702.4395917064305
14.500000216,979.6661349367837,-5383.654377629516,702.4396073117538
14.80000022,979.7482260566244,-5384.00165897386,702.4395972284781
15.100000225,979.4077631431832,-5383.8104635997315,702.4395707172205
15.400000229,980.645912165387,-5382.813131113773,702.4394840497137
15.700000233,979.5673950667665,-5383.224251934573,702.4373284039905
16.050000239,978.9260124262834,-5383.547097114055,702.4325300330162
16.350000243,979.9209611333876,-5382.696983771802,702.4311534625788
16.650000248,978.7639035033803,-5383.440400399828,702.4320764747762
16.950000252,980.2564961303183,-5384.395328178145,702.4334535855064
17.200000256,980.0634055703135,-5381.756310828656,702.4351526592329
17.50000026,980.4541558432786,-5383.391077530399,702.4370815038898
17.850000265,978.7908864061521,-5383.74680413108,702.4391247191896
18.100000269,979.097927084255,-5383.045339050247,702.4404209628449
18.400000274,980.0452073329799,-5383.9205595286785,702.4406118043967
18.700000278,979.4787009482559,-5383.499758184079,702.4412824234241
19.050000283,979.030880762958,-5383.3576963200385,702.4421914204122
19.350000288,979.5100253494314,-5383.155730203199,702.4422321895585
19.600000292,979.291618157185,-5383.883553187429,702.4432081468831
19.950000297,980.0957140029059,-5382.482668996507,702.4438683586798
20.200000301,979.78667684684,-5383.640414132085,702.4433501644563
20.500000305,979.9541003539016,-5383.7230629947,702.4440668331905
20.85000031,980.1196032621051,-5383.433351239572,702.4439263366953
21.100000314,980.8946017595464,-5382.675977230376,702.4434345055761
21.400000318,980.0247749430026,-5383.695054555492,702.4448289973119
21.700000323,978.422144516575,-5383.339082600174,702.4463992968664
22.050000328,980.0241639191144,-5383.768263968746,702.4468795402323
22.300000332,979.1418320795942,-5383.861955689027,702.4469022212863
22.650000337,980.1945482133941,-5383.199600360651,702.4467340884897
22.900000341,980.1613028223736,-5381.8014395290875,702.4452130821768
23.250000346,979.8103194587487,-5383.153385957886,702.4441818438572
23.55000035,979.3269865678229,-5382.6441578749655,702.4452238606685
23.800000354,980.5868460212976,-5382.73627203792,702.4468395552544
24.150000359,978.5850751763943,-5383.4747121725395,702.4476109064778
24.450000364,979.7191725931673,-5382.736980897918,702.4466145884746
24.750000368,979.594210401201,-5383.853495697493,702.446890766031
25.050000373,980.3315249637005,-5382.401714207551,702.4477673045747
25.350000377,979.4910159242027,-5383.413999174929,702.4476735547707
25.650000382,979.8107298235456,-5383.850856874594,702.4470111921875
25.950000386,979.2988683178833,-5383.622126383458,702.4238589532964
26.250000391,979.2530011712129,-5383.471522217286,702.414189662128
26.500000394,980.1245717586353,-5381.304356411371,702.4340278927313
26.800000398999998,980.495638780939,-5380.01802971,702.4411169039113
27.150000404,980.9711683462339,-5378.60065412806,702.4274146098194
27.450000409,981.4115633739056,-5378.958793178478,702.4124756365607
27.700000412,981.420670041472,-5379.885763722448,702.410804600076
28.000000417,980.6477544323701,-5379.3325863491045,702.4105358690907
28.350000422,980.5205802116935,-5381.060637815129,702.4146212285169
28.650000426,980.2515393110035,-5380.814971613179,702.4285164788763
28.950000431,978.7514119832987,-5382.738532452768,702.4505593381331
29.250000435,978.0267568640456,-5383.133876395527,702.4824357578517
29.500000439,975.0059452025416,-5383.733140447826,702.4619226595374
29.800000444,973.8325738689463,-5383.672789363365,702.4229364609963
30.150000449,974.7297314923942,-5383.057664499368,702.3864956337555
30.400000452,972.7587842518823,-5382.661179179245,702.3932784664269
30.700000457,973.3229121429697,-5383.773035227054,702.4043462263007
31.000000461,973.7880568956541,-5382.879945291537,702.4094651697133
31.350000467,973.7224354896798,-5383.408322643293,702.4115691755021
31.650000471,973.3416088971377,-5382.919437892037,702.4130808018593
31.900000475,972.7706749821925,-5383.483391348668,702.4136455215536
32.25000048,973.181216804557,-5384.575526213352,702.4139037928592
32.550000485,974.0147737235126,-5382.7257698024305,702.4140092544039
32.800000488,973.094412641925,-5383.426766802454,702.4140572173128
33.100000493,973.0885639073083,-5384.402787952634,702.4140180009406
