Time,heading
309.750004615,1.0857970714569092
310.05000462,1.0768442153930664
310.300004623,1.1201212406158447
310.650004629,1.0838491916656494
310.950004633,1.1209715604782104
311.250004637,1.1333372592926025
311.500004641,1.1181092262268066
311.850004646,1.109331727027893
312.150004651,1.1099151372909546
312.450004655,1.0953409671783447
312.75000466,1.1364353895187378
313.050004664,1.142669439315796
313.300004668,1.1375131607055664
313.600004673,1.1489555835723877
313.950004678,1.1381847858428955
314.250004682,1.1483734846115112
314.550004687,1.1522682905197144
314.850004691,1.1493738889694214
315.100004695,1.1682170629501343
315.4500047,1.1694376468658447
315.750004705,1.1367013454437256
316.050004709,1.1646808385849
316.350004713,1.1548120975494385
316.650004718,1.1741690635681152
316.950004722,1.188485860824585
317.250004727,1.1849420070648193
317.550004731,1.1766479015350342
317.800004735,1.184036374092102
318.10000474,1.1758370399475098
318.400004744,1.2102539539337158
318.750004749,1.1406879425048828
319.050004754,1.1639056205749512
319.350004758,1.1718928813934326
319.600004762,1.159678339958191
319.950004767,1.1204496622085571
320.250004772,1.1052193641662598
320.550004776,1.1426124572753906
320.850004781,1.1201269626617432
321.150004785,1.1808812618255615
321.400004789,1.2157827615737915
321.750004794,1.339032769203186
322.050004798,1.3146851062774658
322.300004802,1.300884485244751
322.650004807,1.2756104469299316
322.950004812,1.336362600326538
323.250004816,1.4240710735321045
323.550004821,1.3875370025634766
323.850004825,1.441508173942566
324.15000483,1.4541047811508179
324.450004834,1.4843471050262451
324.750004839,1.4939799308776855
325.050004843,1.5130590200424194
325.350004848,1.3970764875411987
325.600004851,1.25831937789917
325.950004857,0.9820833802223206
326.250004861,0.674051821231842
326.500004865,0.7007431387901306
326.85000487,0.3846839964389801
327.150004874,0.3739798069000244
327.450004879,0.19393664598464966
327.750004883,0.12397070974111557
328.050004888,0.188457190990448
328.350004892,0.2439887374639511
328.650004897,0.4066504240036011
328.9000049,0.6357274055480957
329.250004906,0.6719056963920593
329.55000491,0.8740745782852173
