Time,pos x,pos y,pos z
115.100001715,912.4604248392698,-5575.7991974379665,701.7762415436014
115.200001716,911.662279717072,-5576.0238770610285,701.7768548097608
115.200001716,911.5497027307975,-5575.223339978836,701.7774497652231
115.300001718,910.8362863019842,-5575.256411715821,701.7780293530693
115.300001718,910.0910068614536,-5574.454005649694,701.7786094226924
115.350001718,909.7194941726011,-5574.321498618509,701.7791951207339
115.400001719,909.5862037200153,-5574.40923942418,701.7797934588383
115.45000172,909.2835621252666,-5574.661819089445,701.780398228
115.500001721,908.406740366389,-5574.994033430717,701.7810061968058
115.600001722,907.7086140226814,-5574.845262126783,701.7816287828458
115.650001723,906.3683798385536,-5574.916265832761,701.7822632955132
115.700001724,906.6647114805602,-5574.640746058969,701.7835962538743
115.750001724,905.8698687238127,-5574.422378306639,701.7835962538743
115.750001724,905.4850190037531,-5575.078952953585,701.7842809862888
115.850001726,905.1635754549936,-5575.37300125162,701.7849643942279
115.900001727,904.4395819070144,-5576.064678925202,701.785639405765
115.900001727,903.5647717873292,-5576.172058837243,701.7863067951927
116.000001728,902.7380037906863,-5576.50664091962,701.7869516969495
116.050001729,902.3058374434846,-5575.758373532057,701.7875986643759
116.10000173,902.2546193266287,-5575.242245226503,701.7882432034897
116.10000173,901.7039395476573,-5575.157308749414,701.788893439186
116.15000173,901.1775244393609,-5575.091959014781,701.7895416067086
116.250001732,900.3862210333194,-5575.03603158811,701.7901767988924
116.250001732,899.667062160166,-5574.902701635505,701.7907989708405
116.300001733,899.0638654471205,-5574.798347811649,701.7913906673987
116.400001734,898.8640508801903,-5575.21128936301,701.7925168589534
116.450001735,898.5679931231379,-5575.6192610612625,701.7930742757144
116.500001735,898.0355993449696,-5575.757855196718,701.7930742757144
116.500001735,897.7976063321269,-5575.777659475975,701.7936199045121
116.600001737,896.7453685236577,-5575.984822638153,701.7941575381742
116.600001737,896.2054219713073,-5576.258054919995,701.7946788497353
116.650001738,895.9315319406293,-5576.124696149426,701.7951775586032
116.700001738,894.7198310250994,-5575.750036221522,701.7956599442516
116.80000174,894.2841321210616,-5575.181309107764,701.7961353859271
116.80000174,893.4396867295791,-5574.962914631198,701.7966172011159
116.900001741,892.2425693557128,-5574.870123770444,701.7975938058805
116.900001741,892.0465722576959,-5574.670935575946,701.7975938058805
117.000001743,891.5349128637732,-5575.101121730781,701.7980735827674
117.050001744,891.1027744434492,-5574.922818176391,701.798549736345
117.100001744,890.3200917901202,-5575.341196146989,701.7990192199483
117.150001745,889.5689109854612,-5575.616359340411,701.799480468055
117.200001746,889.2639193340375,-5575.64269062193,701.7999389576069
117.250001747,888.727685480224,-5575.858785338614,701.8003930845567
117.250001747,887.6440051015621,-5575.454836913979,701.8008389371795
117.350001748,887.0376096282628,-5575.090009275509,701.8017065442202
117.350001748,885.7245234355252,-5575.440095265463,701.8017065442202
117.400001749,885.029632333353,-5575.5647763363595,701.8021358060179
117.45000175,884.7557015960165,-5575.039925954835,701.8025692876006
117.550001751,884.644923992326,-5575.420947331013,701.8029939092479
117.550001751,884.1073491617409,-5575.769657956798,701.803408992738
117.600001752,883.7507966680056,-5576.058387221882,701.8038145944413
117.700001753,883.2443894871355,-5575.8838116804,701.8042024315992
117.700001753,882.7861184664673,-5575.383499276361,701.804578987409
117.800001755,882.4911902958708,-5575.135402004492,701.8049424027563
117.800001755,881.4634635272846,-5575.313570820267,701.8052939758572
117.900001756,880.5159870184315,-5575.100183359079,701.805642511499
117.950001757,880.1611954800966,-5574.682298332821,701.8059824859399
118.000001758,880.0903035319695,-5574.858983520628,701.8066731700826
118.050001759,878.8206176364724,-5575.243924314867,701.8066731700826
118.100001759,878.3880386126408,-5575.87055676261,701.8073988081376
118.100001759,877.8691610588493,-5576.011837970639,701.8073988081376
118.200001761,877.1650188175779,-5576.191976212312,701.8077955272182
118.250001762,876.3471711517373,-5575.701680701005,701.8081915362661
118.300001762,875.7771990144504,-5575.341023529898,701.8085664211142
118.300001762,875.3158956812745,-5575.925134395811,701.8091955046866
118.400001764,875.1149676624592,-5576.05864428243,701.8091955046866
118.450001765,874.8736095933446,-5576.309334003617,701.809423816662
118.500001765,874.4532295070945,-5576.554241923417,701.8095881219282
118.500001765,873.8003494461428,-5576.184359963511,701.8097124666305
118.550001766,872.9407337920323,-5575.852976084219,701.8098217582102
118.650001768,872.7627706640191,-5575.347354398514,701.8098834177642
118.700001768,872.8596510899341,-5575.2892613773565,701.8098930512227
118.700001768,872.5944464134823,-5575.215356101169,701.8098718872454
118.750001769,871.7419209541159,-5575.669487678533,701.8098624935119
118.850001771,870.6509029070197,-5575.531436974651,701.8098962124899
118.850001771,870.4930726233105,-5575.1557985619065,701.8099949355918
118.900001771,870.1434409632188,-5574.9834376658955,701.8101716077823
118.950001772,869.3268577891184,-5575.463216046916,701.8104285073463
119.050001773,869.0514675399841,-5575.940379397643,701.8107335524502
119.100001774,868.3191527497619,-5575.754299859252,701.8110628210359
119.100001774,867.2382448264789,-5575.910680003453,701.8114228528241
119.150001775,866.442346619979,-5575.510503446159,701.8118194186388
119.250001776,865.925293394596,-5575.583649793445,701.8122543460275
