Time,Unfiltered,Ideal (Carla),Current,Test Filter,Unfiltered Error,Current Error,Test Filter Error
169.350002523,973.4065918512583,973.6568603515625,973.3192663681431,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.350002523,973.4065918512583,973.6568603515625,973.3466252485774,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.400002524,973.4065918512583,973.6568603515625,973.3466252485774,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.400002524,974.0661693365531,973.6568603515625,973.3466252485774,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.400002524,974.0661693365531,973.6568603515625,973.5720000548915,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.450002525,974.0661693365531,973.6568603515625,973.5720000548915,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.450002525,973.637848448766,973.6568603515625,973.5720000548915,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.450002525,973.637848448766,973.6568603515625,973.592617544446,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.450002525,973.8167516582777,973.6568603515625,973.592617544446,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.500002525,973.8167516582777,973.6568603515625,973.592617544446,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.550002526,973.8167516582777,973.6568603515625,973.592617544446,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.550002526,973.8167516582777,973.6568603515625,973.6628169880403,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.550002526,973.7492418106464,973.6568603515625,973.6628169880403,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.600002527,973.7492418106464,973.6568603515625,973.6628169880403,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.600002527,973.7492418106464,973.6568603515625,973.6770860191008,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.600002527,972.6903886318439,973.6568603515625,973.6770860191008,973.2454102625624,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.600002527,972.6903886318439,973.6568603515625,973.3454169472348,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.650002527,972.6903886318439,973.6568603515625,973.3454169472348,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.650002527,973.6510341075249,973.6568603515625,973.3454169472348,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.650002527,973.6510341075249,973.6568603515625,973.410089193816,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.700002528,973.6510341075249,973.6568603515625,973.410089193816,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.700002528,973.3562403596521,973.6568603515625,973.410089193816,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.700002528,973.3562403596521,973.6568603515625,973.3672818303611,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.750002529,973.8264901544451,973.6568603515625,973.3672818303611,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
169.750002529,973.8264901544451,973.6568603515625,973.4755587736186,972.6905775868362,0.25026850030417336,0.33759398341942415,0.4114500890001409
