Time,Sensor,pos x,pos y,pos z,vel,orientation x,orientation y,orientation z,orientation w,ang vel z,lin acc x,lin acc y
2298.650034252,speed,0.0,0.0,0.0,4.874399840839024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.650034252,imu,0.0,0.0,0.0,0.0,0.0,0.0,0.6642372767213989,0.7475217991562118,-0.2881682217121124,-27.749658584594727,-0.6507529020309448
2298.650034252,speed,0.0,0.0,0.0,3.50253419537327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.700034253,pos,-821.4592566224825,-5074.390184017692,707.0594127155573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.700034253,imu,0.0,0.0,0.0,0.0,0.0,0.0,0.6596297251890665,0.7515907301497249,-0.2100662738084793,-27.63150978088379,-0.14957714080810547
2298.750034254,imu,0.0,0.0,0.0,0.0,0.0,0.0,0.6567430311296955,0.7541144416218137,-0.11470147967338562,-27.98800277709961,0.24955390393733978
2298.750034254,pos,-821.7311178435536,-5074.819470826278,707.0592262330401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.750034254,speed,0.0,0.0,0.0,2.1266309141958155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.750034254,speed,0.0,0.0,0.0,0.7460754526130996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.800034254,imu,0.0,0.0,0.0,0.0,0.0,0.0,0.6555746057484467,0.7551304101264685,-0.03696374222636223,-28.07455825805664,0.07265082746744156
2298.800034254,pos,-820.817291716251,-5074.82144757961,707.0594136347395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.850034255,speed,0.0,0.0,0.0,-0.0031566971777912552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.850034255,imu,0.0,0.0,0.0,0.0,0.0,0.0,0.6555800518542592,0.7551256819965579,-3.708520671352744e-05,-23.553600311279297,-2.2418267726898193
2298.850034255,pos,-821.6134681907396,-5074.43898811484,707.0595714898496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.850034255,speed,0.0,0.0,0.0,-0.01307257734161289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.900034256,pos,-821.026760908757,-5074.437295664529,707.0586163623693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.900034256,imu,0.0,0.0,0.0,0.0,0.0,0.0,0.6556042551061919,0.7551046686961055,0.0002498709363862872,-2.145249128341675,-0.880120038986206
2298.950034257,speed,0.0,0.0,0.0,-0.016727345394937185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.950034257,pos,-822.1848796934559,-5074.3294727948405,707.0572850083308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2298.950034257,imu,0.0,0.0,0.0,0.0,0.0,0.0,0.6556551011202806,0.7550605196770354,0.0014533691573888063,-0.13799196481704712,0.0681033730506897
2298.950034257,speed,0.0,0.0,0.0,-0.017640242961608668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
