Time,Sensor,pos x,pos y,pos z,vel,orientation x,orientation y,orientation z,orientation w,ang vel z,lin acc x,lin acc y
267.80000399,speed,0.0,0.0,0.0,5.61152404011594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.80000399,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5473178698223098,0.8369248170374499,-0.23997212946414948,-21.594999313354492,-2.1788153648376465
267.80000399,pos,523.8664119757203,-5912.324168001691,694.4199835688885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.850003991,speed,0.0,0.0,0.0,4.344841162033731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.850003991,pos,525.1851138916101,-5912.155752811009,694.4153751914023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.850003991,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5528236713691351,0.8332982589529097,-0.27630946040153503,-25.2449951171875,-2.934699535369873
267.900003992,speed,0.0,0.0,0.0,3.018041909028325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.900003992,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5586180280718009,0.8294250410454055,-0.2727218568325043,-26.776775360107422,-2.044029951095581
267.900003992,pos,524.1481401781007,-5912.953864843916,694.4123882032459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.950003992,speed,0.0,0.0,0.0,1.6766845177656304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267.950003992,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5636291358527298,0.8260279639442633,-0.20910997688770294,-27.24801254272461,-0.3977280259132385
267.950003992,pos,524.1065799863699,-5913.136111692948,694.4110040671021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.000003993,pos,524.303630532528,-5913.501215857327,694.4111386029754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.000003993,speed,0.0,0.0,0.0,0.38223738201854207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.000003993,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5661641477778493,0.8242925195408373,-0.04630891606211662,-26.950653076171875,2.580232620239258
268.050003994,speed,0.0,0.0,0.0,-0.0003005335212706021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.050003994,pos,524.3502344027315,-5913.271521647471,694.4115508284658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.050003994,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5662471774154647,0.8242354845971018,0.005064181983470917,-16.693546295166016,1.8925390243530273
268.100003995,speed,0.0,0.0,0.0,-0.009228727925580578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.100003995,pos,524.4936806986896,-5913.146378726073,694.4110085728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.100003995,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5662049263651385,0.8242645093414177,0.0011433351319283247,-0.6889932751655579,0.0072690206579864025
268.150003995,speed,0.0,0.0,0.0,-0.012504411303438242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.150003995,pos,524.2412747382518,-5913.542730194201,694.4100944774605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.150003995,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5661814419985487,0.8242806407628679,2.8561509680002928e-05,-0.15400223433971405,-0.1013495922088623
268.200003996,speed,0.0,0.0,0.0,-0.013134042190385477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.200003996,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5661675869893187,0.8242901573127586,-0.0015642772195860744,-0.5439931154251099,0.024189524352550507
268.200003996,pos,524.3417729789012,-5913.407960092272,694.4091782156027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.200003996,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5661607085565241,0.8242948817545663,0.0022465079091489315,-0.47947248816490173,-0.009766335599124432
268.200003996,pos,524.8657857984402,-5912.98466423786,694.4083634126973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.200003996,speed,0.0,0.0,0.0,-0.012494326513085376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.300003997,speed,0.0,0.0,0.0,-0.011127590253278308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.300003997,pos,523.6817203843119,-5912.700355504476,694.4076495619915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.300003997,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5661584484914296,0.8242964340586323,6.187616963870823e-05,-0.3795085549354553,-0.05953798070549965
268.350003998,speed,0.0,0.0,0.0,-0.009622515898607848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.350003998,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5661570727975492,0.8242973789363343,0.0005515883094631135,-0.42375022172927856,-0.03176047280430794
268.350003998,pos,523.9478444185124,-5912.412895560729,694.4070223321878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.400003999,speed,0.0,0.0,0.0,-0.008075614122547833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.400003999,imu,0.0,0.0,0.0,0.0,0.0,0.0,-0.5661563849500176,0.8242978513743242,-0.0015872656367719173,-0.4825693368911743,-0.021457664668560028
268.400003999,pos,524.4540739927331,-5912.989496455575,694.4064648969087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268.400003999,speed,0.0,0.0,0.0,-0.006780934712810951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
