Time,pos x,pos y,pos z,vel,heading,ang vel z,lin acc x,lin acc y
94.150001402,-704.4562377929688,-3593.482177734375,364.2934265136719,-11.815430037677288,-130.72384643554688,-13.015730857849121,1.8774986267089844,-7.157344818115234
94.150001402,-704.4562377929688,-3593.482177734375,364.2934265136719,-11.815430037677288,-130.72384643554688,-13.015730857849121,1.8774986267089844,-7.157344818115234
94.200001403,-704.556884765625,-3593.2958984375,364.30987548828125,3.5288718044757843,-131.49732971191406,-35.89124298095703,158.33973693847656,130.9371337890625
94.200001403,-704.556884765625,-3593.2958984375,364.30987548828125,3.5288718044757843,-131.49732971191406,-35.89124298095703,158.33973693847656,130.9371337890625
94.200001403,-704.556884765625,-3593.2958984375,364.30987548828125,3.5288718044757843,-131.49732971191406,-35.89124298095703,158.33973693847656,130.9371337890625
94.250001404,-704.4403076171875,-3593.29931640625,364.33636474609375,2.2375050529371947,-133.25634765625,-35.352378845214844,-10.650324821472168,-6.085970878601074
94.250001404,-704.4403076171875,-3593.29931640625,364.33636474609375,2.2375050529371947,-133.25634765625,-35.352378845214844,-10.650324821472168,-6.085970878601074
94.250001404,-704.4403076171875,-3593.29931640625,364.33636474609375,2.2375050529371947,-133.25634765625,-35.352378845214844,-10.650324821472168,-6.085970878601074
94.300001405,-704.3618774414062,-3593.286865234375,364.34429931640625,0.9070630148053169,-134.95590209960938,-32.590091705322266,-15.607702255249023,-5.834739685058594
94.300001405,-704.3618774414062,-3593.286865234375,364.34429931640625,0.9070630148053169,-134.95590209960938,-32.590091705322266,-15.607702255249023,-5.834739685058594
94.300001405,-704.3618774414062,-3593.286865234375,364.34429931640625,0.9070630148053169,-134.95590209960938,-32.590091705322266,-15.607702255249023,-5.834739685058594
94.350001405,-704.3292236328125,-3593.276123046875,364.3429870605469,0.2640454135835171,-136.08999633789062,-13.167616844177246,-13.536012649536133,3.2419958114624023
94.350001405,-704.3292236328125,-3593.276123046875,364.3429870605469,0.2640454135835171,-136.08999633789062,-13.167616844177246,-13.536012649536133,3.2419958114624023
94.350001405,-704.3292236328125,-3593.276123046875,364.3429870605469,0.2640454135835171,-136.08999633789062,-13.167616844177246,-13.536012649536133,3.2419958114624023
94.350001405,-704.3211059570312,-3593.272216796875,364.3374938964844,-0.08456698060035706,-136.30587768554688,-1.1215630769729614,-7.139225959777832,1.3648070096969604
94.400001406,-704.3211059570312,-3593.272216796875,364.3374938964844,-0.08456698060035706,-136.30587768554688,-1.1215630769729614,-7.139225959777832,1.3648070096969604
94.400001406,-704.3211059570312,-3593.272216796875,364.3374938964844,-0.08456698060035706,-136.30587768554688,-1.1215630769729614,-7.139225959777832,1.3648070096969604
94.450001407,-704.3225708007812,-3593.26611328125,364.3302307128906,-0.34748344123363495,-136.21978759765625,1.774549126625061,-3.3348827362060547,-1.486398458480835
94.450001407,-704.3225708007812,-3593.26611328125,364.3302307128906,-0.34748344123363495,-136.21978759765625,1.774549126625061,-3.3348827362060547,-1.486398458480835
94.450001407,-704.3225708007812,-3593.26611328125,364.3302307128906,-0.34748344123363495,-136.21978759765625,1.774549126625061,-3.3348827362060547,-1.486398458480835
94.500001408,-704.3279418945312,-3593.255615234375,364.3227233886719,-0.43883325159549713,-136.06610107421875,2.9668562412261963,-0.9516286849975586,-0.8841386437416077
94.500001408,-704.3279418945312,-3593.255615234375,364.3227233886719,-0.43883325159549713,-136.06610107421875,2.9668562412261963,-0.9516286849975586,-0.8841386437416077
94.500001408,-704.3279418945312,-3593.255615234375,364.3227233886719,-0.43883325159549713,-136.06610107421875,2.9668562412261963,-0.9516286849975586,-0.8841386437416077
94.550001408,-704.3335571289062,-3593.2451171875,364.3158264160156,-0.40790384262800217,-135.91506958007812,2.923894166946411,-0.056823790073394775,0.416659414768219
94.550001408,-704.3335571289062,-3593.2451171875,364.3158264160156,-0.40790384262800217,-135.91506958007812,2.923894166946411,-0.056823790073394775,0.416659414768219
94.550001408,-704.3335571289062,-3593.2451171875,364.3158264160156,-0.40790384262800217,-135.91506958007812,2.923894166946411,-0.056823790073394775,0.416659414768219
94.600001409,-704.340087890625,-3593.233154296875,364.3097229003906,-0.4978550225496292,-135.74557495117188,2.4526326656341553,-0.7243475317955017,-1.3779926300048828
94.600001409,-704.340087890625,-3593.233154296875,364.3097229003906,-0.4978550225496292,-135.74557495117188,2.4526326656341553,-0.7243475317955017,-1.3779926300048828
94.600001409,-704.340087890625,-3593.233154296875,364.3097229003906,-0.4978550225496292,-135.74557495117188,2.4526326656341553,-0.7243475317955017,-1.3779926300048828
94.65000141,-704.348876953125,-3593.216552734375,364.304443359375,-0.6343409195542336,-135.5005645751953,4.407577991485596,-0.7158493995666504,-2.292154312133789
94.65000141,-704.348876953125,-3593.216552734375,364.304443359375,-0.6343409195542336,-135.5005645751953,4.407577991485596,-0.7158493995666504,-2.292154312133789
94.65000141,-704.348876953125,-3593.216552734375,364.304443359375,-0.6343409195542336,-135.5005645751953,4.407577991485596,-0.7158493995666504,-2.292154312133789
94.700001411,-704.3510131835938,-3593.21240234375,364.3005676269531,-0.07709659915417433,-135.4604949951172,-0.03007088042795658,3.8146066665649414,6.896071434020996
94.700001411,-704.3510131835938,-3593.21240234375,364.3005676269531,-0.07709659915417433,-135.4604949951172,-0.03007088042795658,3.8146066665649414,6.896071434020996
94.700001411,-704.3510131835938,-3593.21240234375,364.3005676269531,-0.07709659915417433,-135.4604949951172,-0.03007088042795658,3.8146066665649414,6.896071434020996
